,Time,Moves
0,00:00.818,0
1,00:00.224,0
2,00:00.224,0
3,00:00.413,0
4,00:00.099,0
5,00:00.101,0
6,00:00.100,0
7,00:00.202,0
8,00:00.201,0
9,00:00.099,0
10,00:00.101,0
11,00:00.401,0
12,00:00.202,0
13,00:00.299,0
14,00:00.301,0
15,00:00.101,0
16,00:00.101,0
17,00:00.202,0
18,00:00.201,0
19,00:00.101,0
20,00:00.101,0
21,00:00.101,0
22,00:00.301,0
23,00:00.302,0
24,00:00.402,0
25,00:00.100,0
26,00:00.100,0
27,00:00.302,0
28,00:00.099,0
29,00:00.100,0
30,00:00.201,0
31,00:00.101,0
32,00:00.102,0
33,00:00.301,0
34,00:00.100,0
35,00:00.101,0
36,00:00.202,0
37,00:00.404,0
38,00:00.101,0
39,00:00.303,0
40,00:00.303,0
41,00:00.099,0
42,00:00.100,0
43,00:00.301,0
44,00:00.200,0
45,00:00.100,0
46,00:00.100,0
47,00:00.101,0
48,00:00.102,0
49,00:00.101,0
50,00:00.100,0
51,00:00.201,0
52,00:00.099,0
53,00:00.101,0
54,00:00.100,0
55,00:00.101,0
56,00:00.100,0
57,00:00.101,0
58,00:00.201,0
59,00:00.100,0
60,00:00.200,0
61,00:01.564,0
62,00:01.513,0
